genero,idoso,parceiro,dependentes,tempo_contrato_meses,servico_telefone,multiplas_linhas,servico_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,tv_streaming,filmes_streaming,tipo_contrato,fatura_digital,forma_pagamento,cobranca_mensal,total_gasto,evasao
Feminino,0,Sim,Não,7,Sim,Sim,Fibra óptica,Não,Não,Não,Sim,Não,Sim,Dois anos,Não,Transferência bancária,104.27,810.3,0
Masculino,0,Não,Não,60,Sim,Sim,Fibra óptica,Sim,Sim,Não,Não,Sim,Não,Mês a mês,Sim,Cheque enviado pelo correio,66.13,3713.82,1
Feminino,0,Sim,Sim,40,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Um ano,Não,Cheque enviado pelo correio,19.64,686.12,0
Masculino,0,Não,Não,8,Não,Sem serviço telefônico,DSL,Não,Sim,Sim,Sim,Sim,Sim,Um ano,Não,Cheque enviado pelo correio,89.47,794.36,0
Masculino,0,Sim,Não,58,Sim,Sim,DSL,Não,Não,Não,Não,Não,Sim,Um ano,Não,Cheque eletrônico,114.75,7256.79,0
Feminino,0,Não,Sim,57,Sim,Não,Fibra óptica,Sim,Não,Não,Não,Sim,Não,Dois anos,Sim,Cheque enviado pelo correio,46.63,2755.22,0
Masculino,0,Sim,Não,35,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Dois anos,Sim,Transferência bancária,83.86,2832.42,0
Feminino,0,Não,Não,13,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Um ano,Sim,Cartão de crédito,61.5,731.51,0
Masculino,1,Não,Não,39,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Sim,Mês a mês,Sim,Transferência bancária,72.07,2666.27,0
Feminino,0,Não,Não,21,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Sim,Um ano,Sim,Transferência bancária,24.86,460.38,0
Masculino,0,Não,Sim,47,Sim,Não,Fibra óptica,Não,Sim,Não,Não,Não,Não,Mês a mês,Não,Cheque eletrônico,93.38,4817.82,0
Feminino,0,Não,Não,2,Sim,Não,Fibra óptica,Não,Não,Não,Sim,Sim,Não,Mês a mês,Sim,Cheque eletrônico,103.75,184.95,1
Feminino,0,Não,Não,44,Sim,Sim,DSL,Não,Sim,Não,Sim,Não,Não,Um ano,Não,Cheque eletrônico,25.05,981.68,0
Feminino,0,Não,Não,30,Sim,Não,DSL,Não,Sim,Não,Não,Não,Não,Dois anos,Não,Cheque eletrônico,72.78,2437.3,0
Feminino,1,Não,Não,55,Sim,Não,DSL,Sim,Sim,Sim,Sim,Não,Sim,Um ano,Sim,Transferência bancária,94.25,5477.84,0
Feminino,0,Não,Não,40,Sim,Não,DSL,Sim,Não,Não,Sim,Não,Sim,Mês a mês,Sim,Transferência bancária,116.3,4311.9,1
Masculino,0,Não,Sim,24,Sim,Não,DSL,Sim,Sim,Sim,Não,Não,Não,Um ano,Não,Cheque enviado pelo correio,50.61,1131.75,1
Masculino,0,Sim,Não,42,Sim,Não,Fibra óptica,Sim,Não,Não,Sim,Não,Não,Mês a mês,Sim,Cheque eletrônico,52.04,2426.03,1
Masculino,1,Não,Não,28,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Um ano,Sim,Transferência bancária,105.65,3035.77,1
Feminino,0,Sim,Não,51,Sim,Não,DSL,Não,Não,Não,Sim,Não,Não,Um ano,Sim,Cheque enviado pelo correio,88.22,4387.73,0
Masculino,1,Não,Não,22,Sim,Sim,Fibra óptica,Não,Sim,Sim,Sim,Sim,Sim,Um ano,Sim,Cheque eletrônico,113.56,2796.51,1
Feminino,0,Não,Não,8,Não,Sem serviço telefônico,Fibra óptica,Não,Não,Não,Sim,Não,Sim,Um ano,Sim,Transferência bancária,66.21,482.95,0
Feminino,0,Não,Não,14,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Um ano,Sim,Cheque eletrônico,80.05,1135.51,0
Masculino,0,Sim,Sim,45,Não,Sem serviço telefônico,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Mês a mês,Sim,Cheque enviado pelo correio,25.73,1307.16,1
Masculino,0,Sim,Não,38,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Não,Cheque eletrônico,114.89,4338.62,1
Feminino,0,Não,Não,32,Sim,Sim,DSL,Não,Sim,Não,Não,Não,Não,Mês a mês,Sim,Cheque eletrônico,54.5,1636.04,0
Masculino,0,Sim,Sim,62,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Não,Cheque eletrônico,74.45,5300.54,0
Feminino,0,Sim,Sim,67,Sim,Sim,DSL,Não,Sim,Sim,Não,Sim,Não,Mês a mês,Não,Cheque eletrônico,76.14,5140.39,0
Feminino,0,Não,Não,61,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,Sim,Transferência bancária,63.34,3760.6,0
Feminino,0,Não,Não,13,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Não,Não,Mês a mês,Não,Cheque eletrônico,97.07,1197.93,0
Feminino,0,Sim,Sim,47,Sim,Sim,Fibra óptica,Não,Sim,Não,Sim,Sim,Não,Mês a mês,Sim,Cheque eletrônico,76.14,3385.98,0
Feminino,0,Não,Sim,54,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Um ano,Não,Cartão de crédito,40.91,1983.79,1
Masculino,0,Sim,Sim,71,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Sim,Não,Dois anos,Não,Cartão de crédito,52.47,4038.44,0
Masculino,0,Não,Sim,52,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Não,Cheque enviado pelo correio,113.42,5716.57,0
Feminino,0,Sim,Não,72,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Um ano,Sim,Transferência bancária,101.92,7487.84,0
Feminino,0,Não,Não,25,Sim,Sim,DSL,Não,Sim,Sim,Não,Sim,Não,Mês a mês,Sim,Cartão de crédito,114.69,3017.81,0
Masculino,0,Sim,Não,23,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Um ano,Sim,Cartão de crédito,42.9,993.65,0
Masculino,0,Não,Não,30,Não,Sem serviço telefônico,Fibra óptica,Não,Não,Não,Sim,Não,Não,Mês a mês,Sim,Cheque enviado pelo correio,62.19,1757.41,1
Feminino,0,Sim,Não,11,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Um ano,Não,Cheque eletrônico,25.22,300.51,0
Masculino,0,Não,Não,35,Não,Sem serviço telefônico,Fibra óptica,Não,Não,Não,Não,Sim,Não,Dois anos,Sim,Transferência bancária,64.22,2269.55,1
Feminino,0,Sim,Não,27,Sim,Não,DSL,Não,Não,Sim,Não,Não,Sim,Mês a mês,Sim,Cheque enviado pelo correio,41.51,1000.76,0
Masculino,0,Sim,Não,67,Sim,Não,DSL,Não,Não,Não,Não,Sim,Sim,Mês a mês,Sim,Cheque eletrônico,59.62,3686.55,0
Feminino,0,Não,Não,47,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Sim,Mês a mês,Sim,Cheque eletrônico,48.62,2085.92,0
Masculino,0,Não,Não,50,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Sim,Sim,Dois anos,Não,Cheque enviado pelo correio,22.61,1122.26,0
Feminino,0,Sim,Não,8,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Sim,Mês a mês,Não,Cheque enviado pelo correio,44.76,313.85,0
Masculino,0,Sim,Sim,55,Sim,Não,Fibra óptica,Sim,Não,Não,Não,Sim,Sim,Mês a mês,Sim,Cheque enviado pelo correio,70.49,4027.27,0
Masculino,0,Sim,Sim,42,Sim,Não,Fibra óptica,Sim,Não,Não,Não,Não,Não,Mês a mês,Não,Cheque enviado pelo correio,26.61,1240.54,0
Feminino,0,Sim,Não,67,Sim,Sim,Fibra óptica,Sim,Não,Não,Sim,Não,Não,Dois anos,Não,Cheque eletrônico,80.51,5679.4,0
Masculino,0,Sim,Não,20,Sim,Não,DSL,Sim,Não,Não,Não,Não,Sim,Mês a mês,Não,Cheque eletrônico,87.13,1619.55,1
Feminino,0,Sim,Não,45,Não,Sem serviço telefônico,Fibra óptica,Sim,Não,Não,Sim,Sim,Não,Um ano,Sim,Transferência bancária,56.4,2516.88,0
Masculino,1,Não,Não,35,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Um ano,Não,Cheque enviado pelo correio,108.9,3547.45,0
Feminino,0,Não,Sim,20,Sim,Não,DSL,Sim,Não,Sim,Não,Não,Sim,Mês a mês,Sim,Cheque enviado pelo correio,26.48,503.94,1
Masculino,0,Sim,Não,24,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Não,Sim,Dois anos,Sim,Transferência bancária,80.6,2071.3,0
Feminino,0,Não,Não,57,Sim,Sim,DSL,Não,Não,Não,Não,Não,Não,Um ano,Sim,Transferência bancária,91.55,5340.61,0
Masculino,0,Não,Sim,55,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Não,Transferência bancária,96.56,4820.1,0
Feminino,0,Sim,Não,9,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Sim,Não,Um ano,Sim,Transferência bancária,63.13,608.8,1
Masculino,0,Sim,Não,16,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Sim,Transferência bancária,44.79,821.19,1
Feminino,0,Não,Não,55,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Um ano,Não,Cheque enviado pelo correio,114.26,6809.26,0
Feminino,0,Sim,Não,72,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Sim,Cheque eletrônico,110.72,7856.62,0
Feminino,1,Sim,Não,58,Sim,Não,DSL,Não,Sim,Não,Sim,Não,Não,Dois anos,Sim,Cheque eletrônico,116.54,6197.17,0
Masculino,0,Não,Não,64,Sim,Não,DSL,Não,Sim,Não,Não,Sim,Sim,Mês a mês,Não,Cartão de crédito,90.43,5408.2,1
Feminino,0,Não,Não,49,Sim,Não,Fibra óptica,Não,Não,Sim,Não,Não,Não,Mês a mês,Não,Cheque eletrônico,96.17,4094.39,1
Masculino,0,Sim,Não,29,Sim,Sim,Fibra óptica,Não,Não,Sim,Não,Sim,Não,Dois anos,Sim,Transferência bancária,111.01,3029.93,0
Feminino,0,Não,Não,7,Sim,Não,DSL,Não,Não,Não,Não,Sim,Não,Mês a mês,Não,Cheque eletrônico,62.32,456.11,1
Masculino,0,Não,Não,69,Sim,Sim,Fibra óptica,Sim,Não,Sim,Sim,Não,Não,Mês a mês,Sim,Cartão de crédito,34.26,2530.07,0
Feminino,0,Não,Não,2,Sim,Sim,DSL,Sim,Não,Sim,Não,Sim,Não,Mês a mês,Não,Cheque eletrônico,73.97,150.09,0
Masculino,0,Não,Não,33,Sim,Sim,DSL,Não,Não,Não,Sim,Não,Não,Mês a mês,Sim,Cartão de crédito,65.71,2420.23,0
Masculino,0,Sim,Não,48,Sim,Não,Fibra óptica,Não,Não,Não,Sim,Sim,Não,Mês a mês,Não,Cartão de crédito,96.01,4150.22,0
Feminino,0,Não,Não,37,Sim,Não,Fibra óptica,Sim,Sim,Não,Não,Não,Sim,Dois anos,Não,Cheque eletrônico,91.92,3431.23,0
Masculino,0,Sim,Não,30,Sim,Sim,Fibra óptica,Não,Não,Sim,Não,Sim,Sim,Mês a mês,Sim,Cartão de crédito,45.58,1211.88,0
Masculino,0,Sim,Não,41,Sim,Sim,DSL,Não,Não,Não,Não,Não,Não,Dois anos,Não,Cheque eletrônico,28.24,1073.51,0
Feminino,1,Sim,Sim,4,Não,Sem serviço telefônico,Fibra óptica,Sim,Não,Sim,Não,Não,Sim,Dois anos,Não,Transferência bancária,75.43,339.94,1
Masculino,0,Sim,Não,39,Sim,Não,Fibra óptica,Não,Sim,Não,Sim,Não,Não,Mês a mês,Não,Cheque enviado pelo correio,85.7,3797.38,0
Masculino,0,Sim,Não,24,Sim,Sim,Fibra óptica,Não,Sim,Não,Sim,Não,Não,Mês a mês,Sim,Cartão de crédito,68.75,1473.95,0
Masculino,0,Sim,Não,50,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Sim,Cheque enviado pelo correio,84.74,4146.6,0
Feminino,0,Sim,Não,37,Sim,Não,DSL,Sim,Não,Não,Não,Não,Sim,Mês a mês,Sim,Cheque eletrônico,93.19,3710.52,1
Masculino,0,Não,Não,53,Sim,Não,Fibra óptica,Não,Sim,Não,Não,Sim,Não,Mês a mês,Sim,Cheque eletrônico,62.4,3480.48,0
Feminino,0,Sim,Não,25,Sim,Não,Fibra óptica,Não,Não,Sim,Não,Sim,Não,Dois anos,Sim,Cheque eletrônico,68.25,1805.01,1
Masculino,1,Não,Não,31,Sim,Sim,DSL,Sim,Não,Não,Não,Não,Sim,Um ano,Não,Cheque enviado pelo correio,81.48,2608.9,1
Masculino,0,Sim,Sim,38,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Sim,Cartão de crédito,79.63,2741.2,0
Masculino,0,Sim,Sim,58,Sim,Sim,Fibra óptica,Não,Não,Sim,Não,Não,Não,Mês a mês,Sim,Cheque enviado pelo correio,66.53,4195.75,0
Feminino,0,Sim,Não,53,Não,Sem serviço telefônico,DSL,Não,Sim,Sim,Não,Não,Sim,Mês a mês,Sim,Cartão de crédito,43.34,2393.33,1
Masculino,0,Sim,Sim,50,Sim,Sim,Fibra óptica,Sim,Não,Não,Não,Sim,Sim,Mês a mês,Sim,Cartão de crédito,86.15,4350.43,0
Masculino,0,Não,Não,4,Sim,Sim,Fibra óptica,Sim,Sim,Não,Não,Não,Não,Um ano,Sim,Cheque eletrônico,56.81,198.47,1
Feminino,0,Sim,Não,52,Sim,Sim,DSL,Sim,Não,Sim,Não,Não,Sim,Um ano,Sim,Cartão de crédito,63.83,2991.51,1
Masculino,0,Não,Não,31,Sim,Sim,Fibra óptica,Sim,Não,Sim,Não,Não,Não,Mês a mês,Sim,Cheque eletrônico,70.51,2360.94,1
Feminino,0,Não,Não,14,Sim,Sim,DSL,Sim,Sim,Não,Não,Sim,Não,Mês a mês,Não,Cartão de crédito,64.79,873.72,1
Feminino,0,Sim,Não,1,Não,Sem serviço telefônico,Fibra óptica,Não,Não,Sim,Não,Não,Não,Mês a mês,Não,Cartão de crédito,84.18,85.66,1
Masculino,1,Não,Não,43,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Um ano,Não,Cheque eletrônico,69.43,3318.72,0
Feminino,0,Sim,Não,59,Sim,Sim,Fibra óptica,Não,Não,Não,Sim,Não,Sim,Dois anos,Não,Transferência bancária,47.89,2535.58,0
Masculino,0,Não,Sim,61,Não,Sem serviço telefônico,Fibra óptica,Não,Não,Não,Não,Sim,Não,Dois anos,Não,Cheque enviado pelo correio,113.76,6268.83,0
Feminino,0,Não,Não,41,Não,Sem serviço telefônico,Fibra óptica,Não,Não,Não,Sim,Sim,Sim,Mês a mês,Não,Cheque enviado pelo correio,116.67,4648.12,0
Feminino,0,Sim,Não,18,Sim,Sim,DSL,Não,Não,Não,Não,Sim,Não,Mês a mês,Sim,Cheque enviado pelo correio,25.28,478.97,1
Masculino,0,Sim,Sim,60,Sim,Não,Fibra óptica,Não,Não,Não,Sim,Não,Não,Um ano,Sim,Cartão de crédito,85.48,4615.36,0
Feminino,0,Sim,Não,69,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Transferência bancária,106.67,7428.41,0
Feminino,0,Sim,Não,59,Não,Sem serviço telefônico,Fibra óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Cartão de crédito,113.13,7060.78,0
Feminino,0,Não,Não,42,Sim,Sim,DSL,Não,Sim,Não,Não,Não,Sim,Mês a mês,Sim,Cartão de crédito,99.24,3924.61,1
Feminino,0,Sim,Sim,36,Sim,Sim,DSL,Não,Sim,Sim,Não,Não,Não,Mês a mês,Sim,Cartão de crédito,107.25,3690.11,1
Feminino,1,Sim,Não,40,Sim,Não,Fibra óptica,Sim,Sim,Não,Não,Sim,Não,Mês a mês,Sim,Transferência bancária,53.64,2387.86,0
Masculino,0,Sim,Não,30,Sim,Não,DSL,Sim,Sim,Sim,Não,Sim,Não,Um ano,Sim,Cheque eletrônico,101.09,2742.42,0
Feminino,0,Não,Não,11,Sim,Sim,DSL,Não,Sim,Sim,Não,Sim,Não,Um ano,Não,Transferência bancária,79.12,940.73,1
Masculino,0,Sim,Não,25,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Não,Cheque eletrônico,60.56,1369.13,0
Feminino,0,Não,Não,45,Sim,Não,Fibra óptica,Não,Não,Não,Sim,Sim,Não,Mês a mês,Não,Cartão de crédito,98.84,4357.57,0
Masculino,0,Não,Sim,51,Sim,Não,Fibra óptica,Sim,Não,Sim,Não,Não,Não,Mês a mês,Sim,Cartão de crédito,40.06,2183.39,0
Masculino,0,Não,Não,43,Sim,Sim,DSL,Sim,Não,Sim,Sim,Sim,Não,Mês a mês,Não,Cheque eletrônico,112.78,4668.3,0
Feminino,0,Não,Sim,66,Sim,Não,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Mês a mês,Sim,Cheque eletrônico,64.21,3701.88,0
Feminino,0,Sim,Sim,47,Sim,Não,Fibra óptica,Sim,Não,Não,Sim,Sim,Não,Mês a mês,Sim,Cartão de crédito,102.89,4624.23,1
Feminino,0,Sim,Sim,24,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Cheque enviado pelo correio,42.56,938.27,0
Masculino,0,Não,Não,37,Sim,Não,Fibra óptica,Não,Sim,Sim,Não,Não,Não,Mês a mês,Sim,Cheque eletrônico,107.36,3556.15,1
Feminino,0,Não,Não,56,Sim,Sim,Fibra óptica,Sim,Não,Não,Não,Sim,Não,Mês a mês,Não,Transferência bancária,72.49,4188.66,1
Masculino,0,Não,Sim,46,Sim,Sim,DSL,Não,Não,Não,Não,Sim,Não,Um ano,Sim,Cheque eletrônico,45.29,1794.21,1
Masculino,0,Sim,Não,28,Sim,Não,Fibra óptica,Não,Sim,Não,Sim,Sim,Não,Mês a mês,Sim,Cheque enviado pelo correio,78.14,2415.92,0
Masculino,0,Sim,Sim,52,Sim,Não,DSL,Sim,Sim,Não,Sim,Sim,Não,Mês a mês,Sim,Cheque enviado pelo correio,25.4,1421.32,0
Feminino,0,Não,Não,15,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Não,Cartão de crédito,53.99,871.69,0
Feminino,0,Sim,Não,45,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Cheque eletrônico,70.96,3423.5,0
Masculino,0,Sim,Não,58,Sim,Sim,DSL,Sim,Não,Sim,Sim,Não,Não,Dois anos,Sim,Cheque eletrônico,70.65,3816.21,0
Masculino,0,Sim,Não,67,Sim,Sim,DSL,Sim,Não,Não,Não,Não,Sim,Mês a mês,Não,Transferência bancária,79.41,4723.94,0
Feminino,0,Não,Não,72,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Um ano,Não,Cheque eletrônico,22.32,1844.56,0
Masculino,0,Sim,Não,41,Não,Sem serviço telefônico,Fibra óptica,Não,Não,Não,Sim,Não,Sim,Dois anos,Sim,Transferência bancária,94.65,4457.49,0
Feminino,0,Sim,Sim,65,Sim,Não,Fibra óptica,Não,Não,Não,Não,Sim,Não,Mês a mês,Sim,Cheque enviado pelo correio,27.33,2016.05,0
Masculino,0,Não,Sim,40,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Um ano,Sim,Cheque eletrônico,112.09,4723.09,0
Feminino,0,Sim,Não,5,Sim,Não,DSL,Não,Sim,Sim,Sim,Não,Não,Dois anos,Sim,Cheque enviado pelo correio,72.79,359.99,0
Masculino,0,Não,Não,28,Sim,Sim,Fibra óptica,Sim,Não,Não,Não,Sim,Não,Dois anos,Não,Transferência bancária,116.04,2954.15,0
Feminino,0,Não,Não,38,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Não,Cheque eletrônico,36.18,1394.79,0
Masculino,0,Sim,Sim,18,Sim,Não,Fibra óptica,Sim,Sim,Sim,Sim,Não,Não,Mês a mês,Sim,Cheque eletrônico,95.6,1616.93,0
Feminino,1,Não,Não,37,Sim,Sim,DSL,Não,Sim,Sim,Sim,Não,Sim,Mês a mês,Sim,Cheque eletrônico,76.29,2564.41,0
Feminino,0,Não,Sim,27,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,Não,Cheque enviado pelo correio,101.58,2964.3,0
Masculino,0,Sim,Sim,25,Sim,Sim,DSL,Sim,Sim,Sim,Não,Não,Sim,Mês a mês,Sim,Cartão de crédito,23.16,511.29,1
Masculino,1,Sim,Não,69,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Sim,Cheque eletrônico,54.52,4076.39,0
Feminino,1,Não,Não,27,Sim,Sim,DSL,Não,Sim,Não,Não,Não,Não,Mês a mês,Sim,Cartão de crédito,83.93,2082.3,1
Masculino,0,Sim,Não,54,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Não,Cartão de crédito,46.78,2147.77,0
Feminino,0,Não,Não,7,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,Não,Cheque enviado pelo correio,108.89,685.36,1
Masculino,0,Não,Não,27,Sim,Não,Fibra óptica,Não,Sim,Sim,Não,Não,Não,Mês a mês,Não,Cheque eletrônico,95.23,2840.87,0
Feminino,0,Sim,Sim,59,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Mês a mês,Sim,Transferência bancária,55.18,3275.24,0
Feminino,0,Não,Não,72,Sim,Sim,DSL,Não,Não,Sim,Não,Sim,Sim,Mês a mês,Não,Transferência bancária,33.0,2566.59,0
Feminino,0,Sim,Não,31,Não,Sem serviço telefônico,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Sim,Cheque eletrônico,85.04,2479.04,0
Feminino,0,Não,Não,68,Não,Sem serviço telefônico,DSL,Não,Não,Sim,Não,Sim,Sim,Mês a mês,Sim,Transferência bancária,89.95,6889.87,0
Feminino,1,Sim,Não,4,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Sim,Cartão de crédito,45.34,203.07,0
Feminino,0,Não,Não,18,Sim,Não,DSL,Não,Sim,Não,Não,Não,Não,Dois anos,Não,Cheque eletrônico,26.88,457.9,0
Masculino,0,Não,Não,63,Sim,Sim,DSL,Sim,Sim,Sim,Não,Não,Sim,Dois anos,Não,Cheque eletrônico,31.32,2181.03,0
Masculino,0,Não,Sim,52,Sim,Sim,DSL,Não,Sim,Sim,Sim,Sim,Não,Mês a mês,Sim,Transferência bancária,105.78,5080.52,0
Masculino,0,Não,Sim,63,Não,Sem serviço telefônico,Fibra óptica,Não,Não,Não,Não,Não,Não,Um ano,Sim,Cheque enviado pelo correio,55.81,4019.59,0
Feminino,0,Não,Não,45,Sim,Sim,Fibra óptica,Sim,Não,Não,Não,Sim,Não,Mês a mês,Sim,Cartão de crédito,97.94,4429.1,1
Feminino,0,Sim,Não,12,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,Não,Cheque enviado pelo correio,57.92,705.98,0
Feminino,0,Não,Não,8,Sim,Sim,Fibra óptica,Não,Não,Não,Sim,Sim,Sim,Mês a mês,Sim,Cartão de crédito,94.49,646.76,0
Feminino,0,Não,Não,22,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Sim,Cheque enviado pelo correio,102.02,2412.54,1
Masculino,0,Não,Não,41,Sim,Sim,Fibra óptica,Sim,Não,Não,Sim,Não,Sim,Dois anos,Não,Cheque eletrônico,50.83,1924.63,0
Masculino,1,Não,Não,41,Não,Sem serviço telefônico,Fibra óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Não,Cheque enviado pelo correio,117.56,4344.77,1
Feminino,0,Sim,Não,57,Sim,Sim,Fibra óptica,Sim,Não,Não,Não,Sim,Não,Um ano,Não,Cheque enviado pelo correio,35.59,1952.79,0
Masculino,0,Sim,Sim,32,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,Sim,Cheque eletrônico,74.28,2254.69,0
Masculino,0,Sim,Não,55,Sim,Não,Fibra óptica,Não,Não,Não,Não,Sim,Não,Um ano,Sim,Cheque eletrônico,84.55,4148.82,1
Feminino,0,Não,Não,6,Sim,Não,DSL,Sim,Não,Sim,Não,Não,Não,Mês a mês,Não,Cheque enviado pelo correio,33.39,217.93,1
Masculino,0,Sim,Sim,39,Sim,Sim,Fibra óptica,Não,Não,Sim,Sim,Sim,Não,Mês a mês,Não,Cartão de crédito,21.35,887.93,0
Feminino,0,Não,Não,9,Sim,Sim,DSL,Não,Não,Não,Sim,Não,Não,Dois anos,Sim,Cheque enviado pelo correio,29.9,251.97,1
Masculino,0,Sim,Não,32,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Não,Não,Sim,Dois anos,Sim,Cheque eletrônico,32.53,1040.15,0
Feminino,1,Sim,Não,36,Sim,Não,Fibra óptica,Não,Não,Sim,Não,Não,Não,Um ano,Não,Cheque eletrônico,81.75,2757.0,1
Feminino,0,Sim,Não,16,Sim,Sim,Fibra óptica,Sim,Não,Não,Não,Não,Não,Mês a mês,Sim,Cheque enviado pelo correio,115.1,1616.72,0
